      time       stdx       stdz       avgz   nemixrms   nemizrms 
 0.000e+00  4.938e-05  1.141e-08  1.510e-08  5.788e-11  5.270e-16 
 1.000e-11  4.990e-05  1.616e-07  1.464e-05  2.268e-09  7.117e-15 
 2.000e-11  5.162e-05  3.262e-07  5.105e-05  4.723e-09  3.011e-14 
 3.000e-11  5.447e-05  5.080e-07  1.092e-04  7.527e-09  7.086e-14 
 4.000e-11  5.845e-05  7.037e-07  1.889e-04  1.076e-08  1.279e-13 
 5.000e-11  6.350e-05  9.096e-07  2.902e-04  1.420e-08  1.862e-13 
 6.000e-11  6.952e-05  1.128e-06  4.129e-04  1.699e-08  2.025e-13 
 7.000e-11  7.629e-05  1.393e-06  5.568e-04  1.776e-08  1.350e-13 
 8.000e-11  8.342e-05  1.804e-06  7.216e-04  1.695e-08  1.604e-13 
 9.000e-11  9.034e-05  2.488e-06  9.075e-04  1.479e-08  5.150e-13 
 1.000e-10  9.626e-05  3.539e-06  1.114e-03  1.226e-08  1.042e-12 
 1.100e-10  1.004e-04  4.986e-06  1.343e-03  1.263e-08  1.656e-12 
 1.200e-10  1.020e-04  6.809e-06  1.592e-03  1.457e-08  2.262e-12 
 1.300e-10  1.003e-04  8.973e-06  1.864e-03  1.631e-08  2.765e-12 
 1.400e-10  9.471e-05  1.144e-05  2.158e-03  1.717e-08  3.032e-12 
 1.500e-10  8.498e-05  1.416e-05  2.477e-03  1.750e-08  2.950e-12 
 1.600e-10  7.099e-05  1.709e-05  2.820e-03  1.758e-08  2.482e-12 
 1.700e-10  5.308e-05  2.020e-05  3.191e-03  1.752e-08  1.790e-12 
 1.800e-10  3.200e-05  2.346e-05  3.589e-03  1.750e-08  1.472e-12 
 1.900e-10  9.084e-06  2.686e-05  4.018e-03  1.759e-08  2.395e-12 
 2.000e-10  1.490e-05  3.047e-05  4.480e-03  1.767e-08  6.217e-12 
 2.100e-10  3.731e-05  3.429e-05  4.976e-03  1.789e-08  6.953e-12 
 2.200e-10  5.721e-05  3.828e-05  5.511e-03  1.840e-08  7.026e-12 
 2.300e-10  7.326e-05  4.244e-05  6.086e-03  1.962e-08  7.216e-12 
 2.400e-10  8.459e-05  4.675e-05  6.705e-03  2.183e-08  7.760e-12 
 2.500e-10  9.083e-05  5.120e-05  7.370e-03  2.504e-08  8.538e-12 
 2.600e-10  9.213e-05  5.577e-05  8.084e-03  2.900e-08  9.317e-12 
 2.700e-10  8.903e-05  6.043e-05  8.850e-03  3.321e-08  1.010e-11 
 2.800e-10  8.239e-05  6.518e-05  9.670e-03  3.717e-08  1.082e-11 
 2.900e-10  7.315e-05  6.999e-05  1.054e-02  4.050e-08  1.139e-11 
 3.000e-10  6.221e-05  7.486e-05  1.148e-02  4.292e-08  1.195e-11 
 3.100e-10  5.037e-05  7.977e-05  1.247e-02  4.429e-08  1.241e-11 
 3.200e-10  3.823e-05  8.469e-05  1.352e-02  4.480e-08  1.278e-11 
 3.300e-10  2.632e-05  8.960e-05  1.462e-02  4.496e-08  1.316e-11 
 3.400e-10  1.554e-05  9.447e-05  1.579e-02  4.499e-08  1.369e-11 
 3.500e-10  1.003e-05  9.928e-05  1.701e-02  4.494e-08  1.443e-11 
 3.600e-10  1.613e-05  1.040e-04  1.829e-02  4.481e-08  1.570e-11 
 3.700e-10  2.673e-05  1.087e-04  1.962e-02  4.511e-08  1.724e-11 
 3.800e-10  3.830e-05  1.132e-04  2.101e-02  4.565e-08  1.820e-11 
 3.900e-10  5.029e-05  1.176e-04  2.245e-02  4.643e-08  1.886e-11 
 4.000e-10  6.259e-05  1.219e-04  2.395e-02  4.737e-08  1.934e-11 
 4.100e-10  7.513e-05  1.261e-04  2.549e-02  4.815e-08  1.967e-11 
 4.200e-10  8.785e-05  1.301e-04  2.708e-02  4.831e-08  1.979e-11 
 4.300e-10  1.006e-04  1.332e-04  2.872e-02  4.819e-08  1.163e-10 
 4.400e-10  1.133e-04  1.334e-04  3.036e-02  4.837e-08  8.719e-11 
 4.500e-10  1.261e-04  1.336e-04  3.201e-02  4.842e-08  8.732e-11 
 4.600e-10  1.388e-04  1.338e-04  3.365e-02  4.847e-08  8.744e-11 
 4.700e-10  1.516e-04  1.340e-04  3.530e-02  4.852e-08  8.756e-11 
 4.800e-10  1.643e-04  1.342e-04  3.694e-02  4.857e-08  8.767e-11 
 4.900e-10  1.771e-04  1.344e-04  3.859e-02  4.861e-08  8.779e-11 
 5.000e-10  1.899e-04  1.346e-04  4.024e-02  4.865e-08  8.790e-11 
 5.100e-10  2.026e-04  1.348e-04  4.188e-02  4.869e-08  8.802e-11 
 5.200e-10  2.154e-04  1.350e-04  4.353e-02  4.872e-08  8.813e-11 
 5.300e-10  2.282e-04  1.353e-04  4.517e-02  4.876e-08  8.824e-11 
 5.400e-10  2.410e-04  1.355e-04  4.682e-02  4.879e-08  8.835e-11 
 5.500e-10  2.537e-04  1.357e-04  4.847e-02  4.882e-08  8.847e-11 
 5.600e-10  2.665e-04  1.359e-04  5.011e-02  4.885e-08  8.858e-11 
 5.700e-10  2.793e-04  1.362e-04  5.176e-02  4.888e-08  8.868e-11 
 5.800e-10  2.921e-04  1.364e-04  5.340e-02  4.891e-08  8.879e-11 
 5.900e-10  3.049e-04  1.366e-04  5.505e-02  4.894e-08  8.890e-11 
 6.000e-10  3.176e-04  1.369e-04  5.669e-02  4.896e-08  8.901e-11 
 6.100e-10  3.304e-04  1.371e-04  5.834e-02  4.899e-08  8.912e-11 
 6.200e-10  3.432e-04  1.374e-04  5.999e-02  4.901e-08  8.923e-11 
 6.300e-10  3.560e-04  1.376e-04  6.163e-02  4.903e-08  8.933e-11 
 6.400e-10  3.688e-04  1.379e-04  6.328e-02  4.906e-08  8.944e-11 
 6.500e-10  3.816e-04  1.381e-04  6.492e-02  4.908e-08  8.955e-11 
 6.600e-10  3.943e-04  1.384e-04  6.657e-02  4.910e-08  8.965e-11 
 6.700e-10  4.071e-04  1.386e-04  6.822e-02  4.912e-08  8.976e-11 
 6.800e-10  4.199e-04  1.389e-04  6.986e-02  4.914e-08  8.986e-11 
 6.900e-10  4.327e-04  1.392e-04  7.151e-02  4.916e-08  8.997e-11 
 7.000e-10  4.455e-04  1.394e-04  7.315e-02  4.918e-08  9.007e-11 
 7.100e-10  4.583e-04  1.397e-04  7.480e-02  4.919e-08  9.017e-11 
 7.200e-10  4.711e-04  1.400e-04  7.644e-02  4.921e-08  9.028e-11 
 7.300e-10  4.839e-04  1.403e-04  7.809e-02  4.923e-08  9.038e-11 
 7.400e-10  4.966e-04  1.406e-04  7.974e-02  4.924e-08  9.049e-11 
 7.500e-10  5.094e-04  1.408e-04  8.138e-02  4.926e-08  9.059e-11 
 7.600e-10  5.222e-04  1.411e-04  8.303e-02  4.928e-08  9.069e-11 
 7.700e-10  5.350e-04  1.414e-04  8.467e-02  4.929e-08  9.079e-11 
 7.800e-10  5.478e-04  1.417e-04  8.632e-02  4.931e-08  9.090e-11 
 7.900e-10  5.606e-04  1.420e-04  8.797e-02  4.932e-08  9.100e-11 
